restaurant_id,restaurant_name,restaurant_tagline,restaurant_theme_color,restaurant_accent_color,restaurant_logo_emoji,restaurant_cuisine,restaurant_rating,restaurant_address,restaurant_phone,open_time,close_time,menu_id,item_id,item_name,category,description,price,currency,image_url,item_emoji,is_vegetarian,is_available,is_bestseller,spice_level
R001,The Spice Garden,Authentic Indian Cuisine since 1995,#E85D04,#F48C06,🌶️,Indian,4.7,"12 MG Road, Indiranagar, Bangalore",+91-80-4567-8901,11:00 AM,11:00 PM,MENU_R001,I001,Paneer Tikka,Starters,"Cottage cheese marinated in yogurt & aromatic spices, grilled to perfection in a clay oven",320,₹,,🧀,true,true,true,Medium
R001,The Spice Garden,Authentic Indian Cuisine since 1995,#E85D04,#F48C06,🌶️,Indian,4.7,"12 MG Road, Indiranagar, Bangalore",+91-80-4567-8901,11:00 AM,11:00 PM,MENU_R001,I002,Veg Samosa (2 pcs),Starters,"Crispy golden pastry filled with spiced potatoes & garden peas, served with mint chutney",120,₹,,🥟,true,true,false,Mild
R001,The Spice Garden,Authentic Indian Cuisine since 1995,#E85D04,#F48C06,🌶️,Indian,4.7,"12 MG Road, Indiranagar, Bangalore",+91-80-4567-8901,11:00 AM,11:00 PM,MENU_R001,I003,Chicken Seekh Kebab,Starters,"Minced chicken blended with fresh herbs and spices, skewered and cooked over charcoal",380,₹,,🍢,false,true,true,Medium
R001,The Spice Garden,Authentic Indian Cuisine since 1995,#E85D04,#F48C06,🌶️,Indian,4.7,"12 MG Road, Indiranagar, Bangalore",+91-80-4567-8901,11:00 AM,11:00 PM,MENU_R001,I004,Tomato Shorba,Starters,"Silky smooth tangy tomato soup tempered with cumin and fresh Indian spices",180,₹,,🍲,true,true,false,Mild
R001,The Spice Garden,Authentic Indian Cuisine since 1995,#E85D04,#F48C06,🌶️,Indian,4.7,"12 MG Road, Indiranagar, Bangalore",+91-80-4567-8901,11:00 AM,11:00 PM,MENU_R001,I005,Butter Chicken,Main Course,"Tender boneless chicken slow-cooked in a rich creamy tomato-butter gravy with aromatic spices",450,₹,,🍗,false,true,true,Mild
R001,The Spice Garden,Authentic Indian Cuisine since 1995,#E85D04,#F48C06,🌶️,Indian,4.7,"12 MG Road, Indiranagar, Bangalore",+91-80-4567-8901,11:00 AM,11:00 PM,MENU_R001,I006,Dal Makhani,Main Course,"Whole black lentils slow-cooked overnight with butter and cream for a velvety finish",320,₹,,🫘,true,true,true,Mild
R001,The Spice Garden,Authentic Indian Cuisine since 1995,#E85D04,#F48C06,🌶️,Indian,4.7,"12 MG Road, Indiranagar, Bangalore",+91-80-4567-8901,11:00 AM,11:00 PM,MENU_R001,I007,Chicken Biryani,Main Course,"Fragrant long-grain basmati rice layered with spiced chicken and caramelised onions",480,₹,,🍛,false,true,true,Medium
R001,The Spice Garden,Authentic Indian Cuisine since 1995,#E85D04,#F48C06,🌶️,Indian,4.7,"12 MG Road, Indiranagar, Bangalore",+91-80-4567-8901,11:00 AM,11:00 PM,MENU_R001,I008,Palak Paneer,Main Course,"Fresh cottage cheese cubes in a smooth and creamy spinach gravy",350,₹,,🥬,true,true,false,Mild
R001,The Spice Garden,Authentic Indian Cuisine since 1995,#E85D04,#F48C06,🌶️,Indian,4.7,"12 MG Road, Indiranagar, Bangalore",+91-80-4567-8901,11:00 AM,11:00 PM,MENU_R001,I009,Garlic Naan,Main Course,"Soft leavened flatbread brushed with garlic butter from the tandoor",80,₹,,🫓,true,true,false,None
R001,The Spice Garden,Authentic Indian Cuisine since 1995,#E85D04,#F48C06,🌶️,Indian,4.7,"12 MG Road, Indiranagar, Bangalore",+91-80-4567-8901,11:00 AM,11:00 PM,MENU_R001,I010,Gulab Jamun,Desserts,"Soft milk-solid dumplings soaked in rose-cardamom syrup, served warm",150,₹,,🍮,true,true,true,None
R001,The Spice Garden,Authentic Indian Cuisine since 1995,#E85D04,#F48C06,🌶️,Indian,4.7,"12 MG Road, Indiranagar, Bangalore",+91-80-4567-8901,11:00 AM,11:00 PM,MENU_R001,I011,Saffron Kheer,Desserts,"Creamy rice pudding infused with saffron and topped with crushed pistachios",160,₹,,🥛,true,true,false,None
R001,The Spice Garden,Authentic Indian Cuisine since 1995,#E85D04,#F48C06,🌶️,Indian,4.7,"12 MG Road, Indiranagar, Bangalore",+91-80-4567-8901,11:00 AM,11:00 PM,MENU_R001,I012,Sweet Lassi,Beverages,"Chilled thick yogurt blended with sugar and a hint of rose water",120,₹,,🥛,true,true,true,None
R001,The Spice Garden,Authentic Indian Cuisine since 1995,#E85D04,#F48C06,🌶️,Indian,4.7,"12 MG Road, Indiranagar, Bangalore",+91-80-4567-8901,11:00 AM,11:00 PM,MENU_R001,I013,Masala Chai,Beverages,"Traditional spiced Indian tea brewed with cardamom, ginger and cinnamon",60,₹,,☕,true,true,false,None
